Place of Interest|tipo_centro|Place address|BiciMAD Station|Station Location|dock_bikes
Centro Sociocultural Rafael de León (Fuencarral - El Pardo)|Centros Culturales|CALLE ISLA DE ONS 14|Francos Rodríguez|Calle Francos Rodríguez nº 62|2
Centro Sociocultural Rosario de Acuña (Latina)|Centros Culturales|CALLE MARIA DEL CARMEN 65|Caramuel|Calle Caramuel nº 51|14
Centro Sociocultural San Cristóbal de los Ángeles (Villaverde)|Centros Culturales|PLAZA PINAZO 9 PLANTA 1ª|Embajadores 191|Calle Sodio nº 1B|6
Centro Sociocultural San Fermín (Usera)|Centros Culturales|CALLE ESTAFETA 33 Entrada por calle Taconera|Embajadores 191|Calle Sodio nº 1B|6
Centro Sociocultural Santa Petronila (Villaverde)|Centros Culturales|CALLE MARIA MARTINEZ OVIOL 12|Embajadores 191|Calle Sodio nº 1B|6
Centro Sociocultural Talleres de Creatividad (Puente de Vallecas)|Centros Culturales|CALLE SIERRA CARBONERA 74|Concordia|Calle Arroyo del Olivar nº 6|6
Centro Sociocultural Teresa de Calcuta (Barajas)|Centros Culturales|PLAZA NAVIO 4|Gutierre de Cetina|Calle Gutierre de Cetina nº 77|18
Centro Sociocultural Tetuán|Centros Culturales|CALLE BRAVO MURILLO 251|San Germán 57|Calle San Germán nº 57|13
Centro Sociocultural Valle Inclán (Fuencarral - El Pardo)|Centros Culturales|CALLE ARZOBISPO MORCILLO 7|Pedro Rico|Calle Pedro Rico nº 4|13
Centro Sociocultural Valverde (Fuencarral - El Pardo)|Centros Culturales|PLAZA ISLAS AZORES 1|Pedro Rico|Calle Pedro Rico nº 4|13
Centro Sociocultural Vicálvaro|Centros Culturales|CALLE LAGO TITICACA 10|Pavones|Calle Hacienda de Pavones nº 342|8
Centro Sociocultural de Moratalaz|Centros Culturales|CALLE FUENTE CARRANTONA 10|Pavones|Calle Hacienda de Pavones nº 342|8
Centro Sociocultural Ágata (Villaverde)|Centros Culturales|CALLE DOCTOR MARTIN AREVALO 2|Glorieta de Cádiz|Calle Antonio López nº 129|7
Centro de Cultura Contemporánea Conde Duque|Centros Culturales|CALLE CONDE DUQUE 11|Conde Duque|Calle Conde Duque nº 22|6
Centro de Educación Ambiental y Cultural Maris Stella (Usera)|Centros Culturales|CALLE DOCTOR TOLOSA LATOUR 16 A|Glorieta de Cádiz|Calle Antonio López nº 129|7
CentroCentro|Centros Culturales|PLAZA CIBELES 1 Palacio de Cibeles|Cibeles|Plaza Cibeles|6
Ermita de San Antonio de la Florida (Museo)|Museos|GLORIETA SAN ANTONIO DE LA FLORIDA 5|Paseo de la Florida|Paseo de la Florida nº 8|11
Espacio Cultural Núñez de Balboa, 40 (Salamanca)|Centros Culturales|CALLE NUÑEZ DE BALBOA 40|Ayala|Calle Ayala nº 44|19
Espacio Fundación Telefónica|Museos|CALLE FUENCARRAL 3|Desengaño|Calle Desengaño nº 1|10
Espacio Polivalente Embajadores|Centros Culturales|CALLE EMBAJADORES 18|Plaza de Nelson Mandela|Calle Mesón de Paredes nº 35|8
Fernán Gómez Centro Cultural de la Villa|Centros Culturales|PLAZA COLON 4|Plaza de Colón|Calle Goya nº 1|4
Fundación AMYC (Arte Moderno y Contemporáneo). Casa Museo Fuente del Rey|Museos|CALLE FUENTE DEL REY 11|Facultad Derecho|Avenida Complutense nº 23|5
La Casa Encendida de la Fundación Montemadrid|Museos|RONDA VALENCIA 2|Casa Encendida|Ronda de Atocha nº 34|12
Matadero Madrid|Centros Culturales|PLAZA LEGAZPI 8|Legazpi|Calle Bolívar nº 3|12
Medialab en Matadero. Matadero Madrid|Centros Culturales|PASEO CHOPERA 14|Entrada Matadero|Paseo de la Chopera nº 14|19
Museo ABC|Museos|CALLE AMANIEL 29 -31|Conde Duque|Calle Conde Duque nº 22|6
Museo Africano Misioneros Combonianos|Museos|CALLE ARTURO SORIA 101|Carlota O’Neill|Calle Carlota O'Neill nº 32|1
Museo Arqueológico Nacional|Museos|CALLE SERRANO 13|Villanueva|Calle Claudio Coello nº 109|10
Museo Casa de la Moneda|Museos|CALLE DOCTOR ESQUERDO 36|Jorge Juan|Calle Jorge Juan nº 131|8
Museo Cerralbo|Museos|CALLE VENTURA RODRIGUEZ 17|Ventura Rodríguez|Calle Duque de Liria|10
Museo EMT|Museos|CALLE MAURICIO LEGENDRE 40|Manuel Caldeiro|Paseo de la Castellana nº 298|16
Museo Félix Cañada|Museos|CALLE ALENZA 1|Santa Engracia 127|Calle Santa Engracia nº 127|6
Museo Geominero|Museos|CALLE RIOS ROSAS 23|Santa Engracia 127|Calle Santa Engracia nº 127|6
Museo Histórico Minero Don Felipe de Borbón y Grecia|Museos|CALLE RIOS ROSAS 21|Santa Engracia 127|Calle Santa Engracia nº 127|6
Museo ICO|Museos|CALLE ZORRILLA 3|Sevilla|Calle Alcalá nº 27|17
Museo Los Caños del Peral. Estación de Metro Ópera|Museos|PLAZA ISABEL II 1|Palacio de Oriente|Calle Carlos III nº 1|9
Museo Lázaro Galdiano|Museos|CALLE SERRANO 122|Paseo de la Castellana - Glorieta de Emilio Castelar|Paseo de la Castellana nº 43|4
Museo Nacional Centro de Arte Reina Sofía (MNCARS)|Museos|CALLE SANTA ISABEL 52|Museo Reina Sofía|Calle Santa Isabel nº 57|16
Museo Nacional Thyssen-Bornemisza|Museos|PASEO PRADO 8|Marqués de Cubas|Calle del Marqués de Cubas nº 25|8
Museo Nacional de Antropología|Museos|CALLE ALFONSO XII 68|Atocha B|Paseo de la Infanta Isabel nº 3|21
Museo Nacional de Artes Decorativas|Museos|CALLE MONTALBAN 12|Antonio Maura|Calle Antonio Maura nº 15|9
Museo Nacional de Ciencias Naturales|Museos|CALLE JOSE GUTIERREZ ABASCAL 2|José Gutiérrez Abascal |Calle José Gutiérrez Abascal nº 2|12
Museo Naval|Museos|PASEO PRADO 5|Cibeles|Plaza Cibeles|6
